epoch 0
[1.         0.99952489 0.        ] 0.7974759615384615Params: [1.         0.99952489 0.        ], valid rate: 0.661538, volume rate: 0.135937
[1.07258761 0.25844896 0.81468514] 1.083946875Params: [1.07258761 0.25844896 0.81468514], valid rate: 1.000000, volume rate: 0.083947
[2.16517636 0.20844441 0.6013381 ] 1.10053125Params: [2.16517636 0.20844441 0.6013381 ], valid rate: 1.000000, volume rate: 0.100531
[2.28455574 0.14766489 0.570008  ] 1.0979125Params: [2.28455574 0.14766489 0.570008  ], valid rate: 1.000000, volume rate: 0.097912
[3.         0.0867006  0.35903809] 1.1275718750000001Params: [3.         0.0867006  0.35903809], valid rate: 1.000000, volume rate: 0.127572
[1.         0.28651941 0.85234347] 0.9776295212765957Params: [1.         0.28651941 0.85234347], valid rate: 0.893617, volume rate: 0.084013
[1.14794935 0.2533566  0.81053571] 1.08410625Params: [1.14794935 0.2533566  0.81053571], valid rate: 1.000000, volume rate: 0.084106
[1.36150344 0.22256963 0.75727048] 1.085665625Params: [1.36150344 0.22256963 0.75727048], valid rate: 1.000000, volume rate: 0.085666
[1.         0.30093191 0.83581846] 0.9342106505102041Params: [1.         0.30093191 0.83581846], valid rate: 0.846939, volume rate: 0.087272
[2.57941102 0.16105995 0.53338925] 1.10371875Params: [2.57941102 0.16105995 0.53338925], valid rate: 1.000000, volume rate: 0.103719
[3.         0.04497389 0.27256855] 1.1707079757462686Params: [3.         0.04497389 0.27256855], valid rate: 0.994030, volume rate: 0.176678
[2.6726709  0.11377326 0.47894755] 1.10515625Params: [2.6726709  0.11377326 0.47894755], valid rate: 1.000000, volume rate: 0.105156
[1.11820771 0.25459154 0.77111951] 1.08791875Params: [1.11820771 0.25459154 0.77111951], valid rate: 1.000000, volume rate: 0.087919
[1.8410458  0.2241685  0.67328272] 1.095315625Params: [1.8410458  0.2241685  0.67328272], valid rate: 1.000000, volume rate: 0.095316
[2.16197064 0.18265435 0.62318   ] 1.09431875Params: [2.16197064 0.18265435 0.62318   ], valid rate: 1.000000, volume rate: 0.094319
[1.         0.37769433 1.01149065] 0.693221875Params: [1.         0.37769433 1.01149065], valid rate: 0.610000, volume rate: 0.083222
epoch 2
[2.9815146  0.15177773 0.37410763] 1.12471875Params: [2.9815146  0.15177773 0.37410763], valid rate: 1.000000, volume rate: 0.124719
[2.98805775 0.00453126 0.26675161] 0.6366038194444444Params: [2.98805775 0.00453126 0.26675161], valid rate: 0.444444, volume rate: 0.192159
[3.         0.02488842 0.39120827] 1.12669375Params: [3.         0.02488842 0.39120827], valid rate: 1.000000, volume rate: 0.126694
[3.         0.07645748 0.4376381 ] 1.102634375Params: [3.         0.07645748 0.4376381 ], valid rate: 1.000000, volume rate: 0.102634
[2.97492035 0.08247589 0.29012685] 1.148715625Params: [2.97492035 0.08247589 0.29012685], valid rate: 1.000000, volume rate: 0.148716
[3.         0.02359188 0.24218077] 0.6669663846685083Params: [3.         0.02359188 0.24218077], valid rate: 0.469613, volume rate: 0.197353
[3.         0.04850581 0.32366398] 1.147709375Params: [3.         0.04850581 0.32366398], valid rate: 1.000000, volume rate: 0.147709
[2.97171105 0.09182958 0.39233066] 1.11896875Params: [2.97171105 0.09182958 0.39233066], valid rate: 1.000000, volume rate: 0.118969
[3.         0.01846367 0.29536376] 0.6653618251173709Params: [3.         0.01846367 0.29536376], valid rate: 0.483568, volume rate: 0.181794
[2.9602156  0.         0.21095748] 0.2075Params: [2.9602156  0.         0.21095748], valid rate: 0.000000, volume rate: 0.207500
[3.         0.03888521 0.28095096] 0.9055804972627737Params: [3.         0.03888521 0.28095096], valid rate: 0.726277, volume rate: 0.179303
[3.         0.12528125 0.45689375] 1.10785Params: [3.         0.12528125 0.45689375], valid rate: 1.000000, volume rate: 0.107850
[3.         0.08679397 0.32911099] 1.136078125Params: [3.         0.08679397 0.32911099], valid rate: 1.000000, volume rate: 0.136078
[2.98689621 0.02805481 0.23053233] 0.6589007684426229Params: [2.98689621 0.02805481 0.23053233], valid rate: 0.459016, volume rate: 0.199884
[3.         0.05685917 0.25922194] 1.17165625Params: [3.         0.05685917 0.25922194], valid rate: 1.000000, volume rate: 0.171656
[3.         0.07553734 0.33990706] 1.1340375Params: [3.         0.07553734 0.33990706], valid rate: 1.000000, volume rate: 0.134038
[2.98929825 0.03402454 0.25064165] 0.6318751893939394Params: [2.98929825 0.03402454 0.25064165], valid rate: 0.439394, volume rate: 0.192481
[2.97779141 0.06198575 0.27498345] 1.162125Params: [2.97779141 0.06198575 0.27498345], valid rate: 1.000000, volume rate: 0.162125
[3.         0.         0.25153228] 0.1975Params: [3.         0.         0.25153228], valid rate: 0.000000, volume rate: 0.197500
[2.98886252 0.07596812 0.24765357] 1.1642000000000001Params: [2.98886252 0.07596812 0.24765357], valid rate: 1.000000, volume rate: 0.164200
